"Michael Moritz moves on, book-ending a long chapter at Sequoia Capital",4
Forerunner Ventures sees a future full of ‘digitally native franchises’,4
"Sandwich, known for its commercials, looks to help younger startups in exchange for equity",4
Kindred Ventures foresees a ‘massive explosion of startups’ courtesy of AI,4
"Get a clue, says panel about buzzy AI tech: It’s being ‘deployed as surveillance’",4
"Kaitlyn Glancy, long Flexport’s VP of North America, just joined the world of VC",4
How Amazon beat Walmart — and who might beat Amazon: Talking with reporter Jason Del Rey,4
"Peakview, a US LP once solely backed by a Chinese firm, further diversifies its investor base",4
"Julie Wainwright is back with a new, venture-backed startup",4
Benchmark’s view on the AI race: Talking with Miles Grimshaw,4
Greycroft co-founder Ian Sigalow on investing $1B in this market,4
T. Rowe Price has marked down its stake in Canva by 67.6%,4
"As part of AI push, Chinese tech giant Baidu is now rolling out an AI venture fund",4
Explaining Blockchain Capital’s big bet on an eyeball-scanning orb,4
This Stanford grad is taking on pawnshops with a new credit card startup,4
VC firm Neo looks to up the ante with $235M across two new funds,4
Gary Marcus is happy to help regulate AI for US government: ‘I’m interested’,4
"NewLimit, co-founded by Coinbase CEO Brian Armstrong, raises $40M to extend life",4
Renowned investor Elad Gil on how the great AI race will likely shake out,4
Austin Russell became the youngest self-made billionaire in 2021; now he owns Forbes,4
"Worldcoin, co-founded by Sam Altman, is betting the next big thing in AI is proving you are human",4
"Felicis funded 50% more deals last year than in 2021, some as prices were still rising — and it says it has no regrets",4
Chamath Palihapitiya: It could take three years for the market to ‘accurately’ reprice late-stage cos,4
Chris Rock to address ‘The Slap’ in Netflix’s first livestreamed broadcast this Saturday,4
Volition’s Larry Cheng on trying to raise a fund right now: ‘All of the LPs felt more constrained’,4
SignalFire’s founder says his VC firm lost staffers who ‘thought we were too cheap’ in prior years,4
Can ‘we the people’ keep AI in check?,4
"If Sequoia, Paradigm and Thoma Bravo settle a new lawsuit, it could upend VC; here’s why",4
Bain Capital has closed its second Tech Opportunities fund with $2.4 billion,4
"Rihanna’s Savage X Fenty and a newer startup, FIT:MATCH, team up to sell better-fitting lingerie",4
"In a trademark battle between an NFT artist and Hermès, the artist just lost",4
"Sequoia reveals in filing how much is sitting in its Sequoia Capital Fund (and yes, it’s a lot)",4
